Date,Mentions,Engagements
2016-03-01,1063,514
2016-03-02,1066,443
2016-03-03,1054,2244
2016-03-04,1047,825
2016-03-05,973,1618
2016-03-06,1058,833
2016-03-07,1133,740
2016-03-08,1132,880
2016-03-09,987,1003
2016-03-10,1285,1173
2016-03-11,1267,818
2016-03-12,1078,724
2016-03-13,944,766
2016-03-14,988,484
2016-03-15,963,404
2016-03-16,962,457
2016-03-17,969,555
2016-03-18,1070,651
2016-03-19,993,583
2016-03-20,958,458
2016-03-21,1074,717
2016-03-22,1111,565
2016-03-23,981,839
2016-03-24,919,704
2016-03-25,968,583
2016-03-26,1017,608
2016-03-27,941,472
2016-03-28,981,1266
2016-03-29,943,903
2016-03-30,956,1076
2016-03-31,906,865
2016-04-01,981,831
2016-04-02,878,1623
2016-04-03,835,683
2016-04-04,877,727
2016-04-05,937,893
2016-04-06,7303,1387
2016-04-07,12624,1167
2016-04-08,41284,1622
2016-04-09,2945,991
2016-04-10,1436,738
2016-04-11,3029,741
2016-04-12,1712,522
2016-04-13,1658,531
2016-04-14,1468,999
2016-04-15,1374,692
2016-04-16,1263,713
2016-04-17,1209,744
2016-04-18,1142,856
2016-04-19,924,681
2016-04-20,1035,551
2016-04-21,877,999
2016-04-22,1073,1079
2016-04-23,965,629
2016-04-24,984,1057
2016-04-25,946,1408
2016-04-26,1044,1836
2016-04-27,967,2230
2016-04-28,991,710
2016-04-29,1014,834
2016-04-30,829,15240
2016-05-01,888,3096
2016-05-02,921,1129
2016-05-03,859,1239
2016-05-04,933,854
2016-05-05,982,989
2016-05-06,1053,2114
2016-05-07,1869,2512
2016-05-08,890,1225
2016-05-09,930,802
2016-05-10,952,747
2016-05-11,712,402
2016-05-12,907,721
2016-05-13,894,411
2016-05-14,866,476
2016-05-15,839,568
2016-05-16,890,464
2016-05-17,1766,2924
2016-05-18,950,1060
2016-05-19,1007,1254
2016-05-20,869,622
2016-05-21,819,1036
2016-05-22,804,1143
2016-05-23,877,692
2016-05-24,823,328
2016-05-25,2043,481
2016-05-26,2707,478
2016-05-27,2472,648
2016-05-28,1773,765
2016-05-29,1655,571
2016-05-30,3527,1561
2016-05-31,2398,747
2016-06-01,2243,583
2016-06-02,1675,1189
2016-06-03,2561,422
2016-06-04,1905,413
2016-06-05,879,775
2016-06-06,2168,592
2016-06-07,2113,584
2016-06-08,1889,483
2016-06-09,2024,442
2016-06-10,940,505
2016-06-11,1990,526
2016-06-12,750,733
2016-06-13,864,420
2016-06-14,923,774
2016-06-15,929,624
2016-06-16,1015,1308
2016-06-17,935,1344
2016-06-18,809,1868
2016-06-19,910,1451
2016-06-20,922,2241
2016-06-21,963,1407
2016-06-22,1072,1900
2016-06-23,913,1419
2016-06-24,977,864
2016-06-25,962,1304
2016-06-26,1018,972
2016-06-27,961,1979
2016-06-28,887,1226
2016-06-29,866,870
2016-06-30,932,1780
2016-07-01,915,722
2016-07-02,843,745
2016-07-03,765,706
2016-07-04,845,892
2016-07-05,939,744
2016-07-06,1007,1606
2016-07-07,888,1164
2016-07-08,909,1348
2016-07-09,910,2034
2016-07-10,893,1652
2016-07-11,881,1279
2016-07-12,966,1000
2016-07-13,595,425
2016-07-14,864,620
2016-07-15,971,459
2016-07-16,871,549
2016-07-17,822,644
2016-07-18,882,1032
2016-07-19,935,574
2016-07-20,1152,478
2016-07-21,900,898
2016-07-22,873,755
2016-07-23,793,443
2016-07-24,821,526
2016-07-25,845,4643
2016-07-26,991,4722
2016-07-27,923,858
2016-07-28,969,863
2016-07-29,1196,703
2016-07-30,887,1381
2016-07-31,980,1242
2016-08-01,1052,1816
2016-08-02,866,548
2016-08-03,879,601
2016-08-04,965,632
2016-08-05,894,681
2016-08-06,814,1304
2016-08-07,875,817
2016-08-08,997,556
2016-08-09,997,441
2016-08-10,933,486
2016-08-11,1525,484
2016-08-12,2934,554
2016-08-13,2481,1644
2016-08-14,2280,2659
2016-08-15,3008,2288
2016-08-16,3236,1752
2016-08-17,3242,1817
2016-08-18,2972,2597
2016-08-19,3067,1872
2016-08-20,2282,1437
2016-08-21,2219,1658
2016-08-22,1525,1102
2016-08-23,865,1022
2016-08-24,1053,1121
2016-08-25,844,934
2016-08-26,888,1173
2016-08-27,827,1220
2016-08-28,884,1327
2016-08-29,867,1413
2016-08-30,799,1593
2016-08-31,764,1368
2016-09-01,924,1097
2016-09-02,717,1109
2016-09-03,783,976
2016-09-04,796,980
2016-09-05,772,1394
2016-09-06,716,858
2016-09-07,746,864
2016-09-08,675,787
2016-09-09,800,1380
2016-09-10,830,1047
2016-09-11,890,1228
2016-09-12,726,1735
2016-09-13,880,790
2016-09-14,683,1351
2016-09-15,670,1216
2016-09-16,743,935
2016-09-17,808,487
2016-09-18,755,455
2016-09-19,822,606
2016-09-20,725,563
2016-09-21,736,637
2016-09-22,933,831
2016-09-23,765,1470
2016-09-24,811,591
2016-09-25,853,1060
2016-09-26,748,534
2016-09-27,766,475
2016-09-28,693,316
2016-09-29,692,440
2016-09-30,599,271
2016-10-01,688,510
2016-10-02,660,595
2016-10-03,733,698
2016-10-04,780,825
2016-10-05,721,638
2016-10-06,470,1323
2016-10-07,284,446
2016-10-08,389,461
2016-10-09,359,641
2016-10-10,424,748
2016-10-11,583,832
2016-10-12,540,794
2016-10-13,560,904
2016-10-14,74,84
2016-10-15,49,52
2016-10-16,31,97
2016-10-17,59,58
2016-10-18,29,30
2016-10-19,55,37
2016-10-20,41,72
2016-10-21,41,113
2016-10-22,25,82
2016-10-23,37,123
2016-10-24,28,49
2016-10-25,27,21
2016-10-26,38,71
2016-10-27,35,44
2016-10-28,27,35
2016-10-29,21,12
2016-10-30,15,55
2016-10-31,35,52
2016-11-01,28,39
2016-11-02,178,16
2016-11-03,44,49
2016-11-04,38,35
2016-11-05,36,33
2016-11-06,38,82
2016-11-07,36,22
2016-11-08,54,40
2016-11-09,30,25
2016-11-10,35,35
2016-11-11,60,31
2016-11-12,35,51
2016-11-13,32,29
2016-11-14,30,19
2016-11-15,42,47
2016-11-16,45,123
2016-11-17,49,49
2016-11-18,38,37
2016-11-19,35,59
2016-11-20,32,47
2016-11-21,41,36
2016-11-22,21,22
2016-11-23,25,10
2016-11-24,13,28
2016-11-25,18,17
2016-11-26,14,4
2016-11-27,13,36
2016-11-28,77,14
2016-11-29,26,3
2016-11-30,22,35
2016-12-01,17,9
2016-12-02,46,17
2016-12-03,38,38
2016-12-04,20,7
2016-12-05,39,19
2016-12-06,37,27
2016-12-07,42,11
2016-12-08,40,52
2016-12-09,36,23
2016-12-10,25,14
2016-12-11,26,52
2016-12-12,30,12
2016-12-13,37,18
2016-12-14,40,55
2016-12-15,23,14
2016-12-16,27,13
2016-12-17,17,9
2016-12-18,20,53
2016-12-19,20,12
2016-12-20,33,13
2016-12-21,28,14
2016-12-22,21,19
2016-12-23,24,5
2016-12-24,13,14
2016-12-25,4,12
2016-12-26,8,9
2016-12-27,10,6
2016-12-28,12,30
2016-12-29,20,15
2016-12-30,11,8
2016-12-31,9,34
2017-01-01,9,6
2017-01-02,26,60
2017-01-03,32,18
2017-01-04,34,31
2017-01-05,46,42
2017-01-06,63,25
2017-01-07,27,45
2017-01-08,11,10
2017-01-09,40,20
2017-01-10,46,11
2017-01-11,55,87
2017-01-12,63,38
2017-01-13,76,31
2017-01-14,42,70
2017-01-15,15,17
2017-01-16,27,14
2017-01-17,44,17
2017-01-18,49,68
2017-01-19,52,18
2017-01-20,63,25
2017-01-21,22,12
2017-01-22,16,52
2017-01-23,25,22
2017-01-24,37,12
2017-01-25,55,74
2017-01-26,36,17
2017-01-27,63,40
2017-01-28,32,48
2017-01-29,10,11
2017-01-30,29,10
2017-01-31,41,51
2017-02-01,40,53
2017-02-02,48,37
2017-02-03,75,36
2017-02-04,30,48
2017-02-05,38,23
2017-02-06,79,29
2017-02-07,64,31
2017-02-08,83,34
2017-02-09,81,29
2017-02-10,93,38
2017-02-11,81,64
2017-02-12,32,26
2017-02-13,96,51
2017-02-14,96,36
2017-02-15,23,22
2017-02-16,17,20
2017-02-17,26,21
2017-02-18,59,15
2017-02-19,20,24
2017-02-20,45,18
2017-02-21,41,27
2017-02-22,72,65
2017-02-23,44,17
2017-02-24,52,48
2017-02-25,19,24
2017-02-26,18,65
2017-02-27,36,32
2017-02-28,37,15
2017-03-01,41,29
2017-03-02,48,29
2017-03-03,43,16
2017-03-04,26,49
2017-03-05,20,14
2017-03-06,29,19
2017-03-07,35,18
2017-03-08,39,65
2017-03-09,48,28
2017-03-10,60,34
2017-03-11,38,29
2017-03-12,28,14
2017-03-13,24,20
2017-03-14,42,30
2017-03-15,30,24
2017-03-16,34,23
2017-03-17,45,31
2017-03-18,22,10
2017-03-19,17,57
2017-03-20,3,5
